Time,Team,Operation,BuyVolume,SellVolume,EtfPosition,FuturePosition,EtfPrice,FuturePrice,TotalFees,AccountBalance,ProfitOrLoss,Status
17.032,TraderOne,Tick,121,117,4,-4,146900,146900,1214,-5414,-5414,OK
17.25,TraderOne,Tick,121,117,4,-4,146900,146900,1214,-5414,-5414,OK
17.5,TraderOne,Tick,121,117,4,-4,146900,146900,1214,-5414,-5414,OK
17.782,TraderOne,Tick,131,117,14,-14,146900,146900,1508,-4708,-4708,OK
17.985,TraderOne,Tick,141,117,24,-24,146600,146900,1802,-4002,-8802,OK
18.219,TraderOne,Tick,141,117,24,-24,146600,146900,1802,-4002,-8802,OK
18.547,TraderOne,Tick,141,117,24,-24,146600,147100,1802,-4002,-8802,OK
18.735,TraderOne,Tick,141,117,24,-24,146600,147100,1802,-4002,-8802,OK
19.047,TraderOne,Tick,141,117,24,-24,146600,147100,1802,-4002,-8802,OK
19.235,TraderOne,Tick,141,117,24,-24,146600,147100,1802,-4002,-8802,OK
19.516,TraderOne,Tick,141,117,24,-24,146600,147200,1802,-4002,-8802,OK
19.782,TraderOne,Tick,151,117,34,-34,146900,147200,2096,-2296,-9096,OK
19.969,TraderOne,Tick,151,117,34,-34,146900,147200,2096,-2296,-9096,OK
20.235,TraderOne,Tick,161,117,44,-44,146900,147200,2390,410,-8390,OK
20.532,TraderOne,Tick,171,117,54,-54,146900,147900,2684,5116,-5684,OK
20.703,TraderOne,Tick,181,117,64,-64,147200,147900,2978,12822,22,OK
20.985,TraderOne,Tick,181,127,54,-54,147500,147900,2831,7969,-2831,OK
21.25,TraderOne,Tick,181,137,44,-44,147400,147900,2949,3651,-5149,OK
21.485,TraderOne,Tick,181,137,44,-44,147400,147900,2949,3651,-5149,OK
21.782,TraderOne,Tick,181,137,44,-44,147400,147900,2949,3651,-5149,OK
22.047,TraderOne,Tick,181,137,44,-44,147400,148000,2949,3651,-5149,OK
22.297,TraderOne,Tick,181,137,44,-44,147400,148000,2949,3651,-5149,OK
22.532,TraderOne,Tick,181,137,44,-44,147400,148100,2949,3651,-5149,OK
22.703,TraderOne,Tick,181,137,44,-44,147400,148100,2949,3651,-5149,OK
23.016,TraderOne,Tick,191,137,54,-54,147700,148000,3244,7356,-3444,OK
23.203,TraderOne,Tick,191,137,54,-54,147700,148000,3244,7356,-3444,OK
23.5,TraderOne,Tick,191,147,44,-44,147400,147700,3539,3061,-5739,OK
23.782,TraderOne,Tick,191,147,44,-44,147400,147700,3539,3061,-5739,OK
24.0,TraderOne,Tick,191,147,44,-44,147400,147700,3539,3061,-5739,OK
24.266,TraderOne,Tick,191,147,44,-44,147400,147700,3539,3061,-5739,OK
24.5,TraderOne,Tick,201,147,54,-54,147400,147700,3834,6766,-4034,OK
24.735,TraderOne,Tick,211,147,64,-64,147400,147700,4129,11471,-1329,OK
25.047,TraderOne,Tick,211,147,64,-64,147400,148100,4129,11471,-1329,OK
25.235,TraderOne,Tick,211,147,64,-64,147400,148200,4129,11471,-1329,OK
25.469,TraderOne,Tick,211,157,54,-54,147600,147900,4424,5176,-5624,OK
25.719,TraderOne,Tick,211,164,47,-47,147600,147900,4321,1779,-7621,OK
26.032,TraderOne,Tick,211,164,47,-47,147600,147900,4321,1779,-7621,OK
26.266,TraderOne,Tick,211,164,47,-47,147600,147900,4321,1779,-7621,OK
26.469,TraderOne,Tick,211,164,47,-47,147400,147900,4321,1779,-7621,OK
26.719,TraderOne,Tick,211,164,47,-47,147400,147900,4321,1779,-7621,OK
27.032,TraderOne,Tick,211,164,47,-47,147400,147900,4321,1779,-7621,OK
27.266,TraderOne,Tick,221,164,57,-57,147400,147900,4173,5927,-5473,OK
27.547,TraderOne,Tick,221,164,57,-57,147400,147900,4173,5927,-5473,OK
27.75,TraderOne,Tick,221,164,57,-57,147400,147900,4173,5927,-5473,OK
28.032,TraderOne,Tick,231,174,57,-57,147200,147800,3878,7222,-4178,OK
28.297,TraderOne,Tick,231,174,57,-57,147200,147800,3878,7222,-4178,OK
28.5,TraderOne,Tick,231,184,47,-47,147700,147800,3731,3369,-1331,OK
28.797,TraderOne,Tick,231,184,47,-47,147700,147600,3731,3369,8069,OK
29.0,TraderOne,Tick,231,184,47,-47,147700,147600,3731,3369,8069,OK
29.219,TraderOne,Tick,231,184,47,-47,147700,147600,3731,3369,8069,OK
29.547,TraderOne,Tick,231,184,47,-47,147700,147600,3731,3369,8069,OK
29.703,TraderOne,Tick,231,194,37,-37,147100,147600,4025,75,-7325,OK
29.985,TraderOne,Tick,231,204,27,-27,147700,147600,3878,-2778,-78,OK
30.235,TraderOne,Tick,241,204,37,-37,147000,147600,3731,369,-7031,OK
30.453,TraderOne,Tick,241,204,37,-37,147000,147600,3731,369,-7031,OK
30.75,TraderOne,Tick,241,204,37,-37,147000,147400,3731,369,-7031,OK
31.032,TraderOne,Tick,251,204,47,-47,147000,147400,4025,3075,-6325,OK
31.266,TraderOne,Tick,261,204,57,-57,147000,147400,4319,6781,-4619,OK
31.547,TraderOne,Tick,261,204,57,-57,147000,147400,4319,6781,-4619,OK
31.719,TraderOne,Tick,261,204,57,-57,147000,147400,4319,6781,-4619,OK
32.0,TraderOne,Tick,271,204,67,-67,147000,147400,4172,11928,-1472,OK
32.282,TraderOne,Tick,271,204,67,-67,147000,147400,4172,11928,-1472,OK
32.547,TraderOne,Tick,271,214,57,-57,147100,147400,4466,5634,-5766,OK
32.766,TraderOne,Tick,271,214,57,-57,147100,147600,4466,5634,-5766,OK
33.032,TraderOne,Tick,271,214,57,-57,147100,147600,4466,5634,-5766,OK
33.266,TraderOne,Tick,271,224,47,-47,146900,147600,4760,340,-9060,OK
33.453,TraderOne,Tick,271,224,47,-47,146900,147600,4760,340,-9060,OK
33.797,TraderOne,Tick,271,234,37,-37,146900,147600,5054,-3954,-11354,OK
34.0,TraderOne,Tick,271,234,37,-37,146900,147600,5054,-3954,-11354,OK
34.219,TraderOne,Tick,271,234,37,-37,146900,147200,5054,-3954,-11354,OK
34.547,TraderOne,Tick,271,234,37,-37,146900,147200,5054,-3954,-11354,OK
34.797,TraderOne,Tick,271,234,37,-37,146900,147200,5054,-3954,-11354,OK
35.0,TraderOne,Tick,271,234,37,-37,146900,147200,5054,-3954,-11354,OK
35.297,TraderOne,Tick,271,234,37,-37,146900,147300,5054,-3954,-11354,OK
35.453,TraderOne,Tick,271,244,27,-27,147100,147400,4907,-8807,-14207,OK
35.766,TraderOne,Tick,271,254,17,-17,147200,147000,5201,-11101,-7701,OK
36.047,TraderOne,Tick,271,254,17,-17,147200,147000,5201,-11101,-7701,OK
36.25,TraderOne,Tick,271,254,17,-17,147200,147000,5201,-11101,-7701,OK
36.453,TraderOne,Tick,271,261,10,-10,147200,147000,5407,-12007,-10007,OK
36.735,TraderOne,Tick,271,261,10,-10,147200,147000,5407,-12007,-10007,OK
37.047,TraderOne,Tick,271,261,10,-10,147200,147000,5407,-12007,-10007,OK
37.25,TraderOne,Tick,271,261,10,-10,147200,147000,5407,-12007,-10007,OK
37.485,TraderOne,Tick,271,261,10,-10,147200,147300,5407,-12007,-13007,OK
37.75,TraderOne,Tick,271,261,10,-10,147200,147300,5407,-12007,-13007,OK
38.032,TraderOne,Tick,271,261,10,-10,147200,147300,5407,-12007,-13007,OK
38.266,TraderOne,Tick,271,261,10,-10,147200,147300,5407,-12007,-13007,OK
38.5,TraderOne,Tick,271,261,10,-10,147200,147300,5407,-12007,-13007,OK
38.719,TraderOne,Tick,271,261,10,-10,147200,147300,5407,-12007,-13007,OK
38.953,TraderOne,Tick,271,261,10,-10,147200,147300,5407,-12007,-13007,OK
39.266,TraderOne,Tick,281,261,20,-20,147000,147300,5260,-10860,-14860,OK
39.485,TraderOne,Tick,281,271,10,-10,147700,147300,5113,-12713,-10713,OK
39.719,TraderOne,Tick,281,271,10,-10,147700,147300,5113,-12713,-10713,OK
40.047,TraderOne,Tick,281,271,10,-10,147700,147300,5113,-12713,-10713,OK
40.297,TraderOne,Tick,281,271,10,-10,147700,147300,5113,-12713,-10713,OK
40.5,TraderOne,Tick,281,281,0,0,147700,147300,4966,-13566,-13566,OK
40.766,TraderOne,Tick,281,281,0,0,147700,147300,4966,-13566,-13566,OK
40.953,TraderOne,Tick,281,281,0,0,147700,147300,4966,-13566,-13566,OK
41.25,TraderOne,Tick,281,281,0,0,147700,147300,4966,-13566,-13566,OK
41.5,TraderOne,Tick,281,281,0,0,147700,147300,4966,-13566,-13566,OK
41.735,TraderOne,Tick,281,281,0,0,147700,147300,4966,-13566,-13566,OK
41.985,TraderOne,Tick,281,281,0,0,147700,147300,4966,-13566,-13566,OK
42.25,TraderOne,Tick,281,289,-8,8,147500,147200,4848,-12648,-14248,OK
42.532,TraderOne,Tick,281,289,-8,8,147500,147200,4848,-12648,-14248,OK
42.703,TraderOne,Tick,281,289,-8,8,147500,147200,4848,-12648,-14248,OK
42.953,TraderOne,Tick,281,289,-8,8,147500,147200,4848,-12648,-14248,OK
43.282,TraderOne,Tick,281,289,-8,8,147500,147200,4848,-12648,-14248,OK
43.469,TraderOne,Tick,281,289,-8,8,147500,147200,4848,-12648,-14248,OK
43.735,TraderOne,Tick,281,289,-8,8,147500,147400,4848,-12648,-13448,OK
44.047,TraderOne,Tick,281,289,-8,8,147500,147400,4848,-12648,-13448,OK
44.219,TraderOne,Tick,281,289,-8,8,147500,147400,4848,-12648,-13448,OK
44.453,TraderOne,Tick,281,289,-8,8,147500,147400,4848,-12648,-13448,OK
44.797,TraderOne,Tick,281,289,-8,8,147500,147400,4848,-12648,-13448,OK
45.047,TraderOne,Tick,281,289,-8,8,147700,147400,4848,-12648,-14248,OK
45.266,TraderOne,Tick,281,289,-8,8,147700,147500,4848,-12648,-14248,OK
45.485,TraderOne,Tick,281,289,-8,8,147700,147500,4848,-12648,-14248,OK
45.735,TraderOne,Tick,281,299,-18,18,147400,147500,5143,-11943,-10143,OK
46.047,TraderOne,Tick,281,299,-18,18,147400,147500,5143,-11943,-10143,OK
46.203,TraderOne,Tick,281,299,-18,18,147400,147500,5143,-11943,-10143,OK
46.485,TraderOne,Tick,281,299,-18,18,147400,147500,5143,-11943,-10143,OK
46.703,TraderOne,Tick,281,299,-18,18,147400,147500,5143,-11943,-10143,OK
47.0,TraderOne,Tick,281,299,-18,18,147400,147500,5143,-11943,-10143,OK
47.219,TraderOne,Tick,281,299,-18,18,147400,147500,5143,-11943,-10143,OK
47.469,TraderOne,Tick,281,299,-18,18,147400,147500,5143,-11943,-10143,OK
47.782,TraderOne,Tick,281,309,-28,28,147700,147500,4995,-9795,-15395,OK
48.047,TraderOne,Tick,281,309,-28,28,147700,147500,4995,-9795,-15395,OK
48.219,TraderOne,Tick,281,309,-28,28,147700,147500,4995,-9795,-15395,OK
48.532,TraderOne,Tick,284,309,-25,25,147300,147500,4951,-10651,-5651,OK
48.766,TraderOne,Tick,284,309,-25,25,147300,147500,4951,-10651,-5651,OK
49.0,TraderOne,Tick,284,309,-25,25,147300,147500,4951,-10651,-5651,OK
49.266,TraderOne,Tick,284,309,-25,25,147300,147500,4951,-10651,-5651,OK
49.516,TraderOne,Tick,294,309,-15,15,147700,147500,5246,-13946,-16946,OK
49.782,TraderOne,Tick,294,309,-15,15,147700,147500,5246,-13946,-16946,OK
50.0,TraderOne,Tick,294,309,-15,15,147700,147500,5246,-13946,-16946,OK
50.203,TraderOne,Tick,294,309,-15,15,147700,147500,5246,-13946,-16946,OK
50.516,TraderOne,Tick,294,309,-15,15,147700,147500,5246,-13946,-16946,OK
50.703,TraderOne,Tick,294,309,-15,15,147700,147500,5246,-13946,-16946,OK
51.0,TraderOne,Tick,294,309,-15,15,147700,147500,5246,-13946,-16946,OK
51.297,TraderOne,Tick,294,309,-15,15,147700,147500,5246,-13946,-16946,OK
51.5,TraderOne,Tick,294,309,-15,15,147700,147500,5246,-13946,-16946,OK
51.797,TraderOne,Tick,294,309,-15,15,147700,147500,5246,-13946,-16946,OK
52.0,TraderOne,Tick,294,309,-15,15,147700,147300,5246,-13946,-16946,OK
52.219,TraderOne,Tick,294,309,-15,15,147700,147300,5246,-13946,-16946,OK
52.485,TraderOne,Tick,294,309,-15,15,147700,147300,5246,-13946,-16946,OK
52.766,TraderOne,Tick,294,309,-15,15,147700,147300,5246,-13946,-16946,OK
53.016,TraderOne,Tick,294,309,-15,15,147700,147300,5246,-13946,-16946,OK
53.297,TraderOne,Tick,294,309,-15,15,147700,147300,5246,-13946,-16946,OK
53.516,TraderOne,Tick,294,309,-15,15,147700,147300,5246,-13946,-16946,OK
53.735,TraderOne,Tick,294,309,-15,15,147700,147300,5246,-13946,-16946,OK
54.047,TraderOne,Tick,294,319,-25,25,147700,147300,5098,-13798,-18798,OK
54.25,TraderOne,Tick,304,319,-15,15,147700,147300,5393,-17093,-20093,OK
54.532,TraderOne,Tick,304,319,-15,15,147700,147200,5393,-17093,-20093,OK
54.75,TraderOne,Tick,304,319,-15,15,147700,147200,5393,-17093,-20093,OK
55.032,TraderOne,Tick,304,319,-15,15,147700,147200,5393,-17093,-20093,OK
55.282,TraderOne,Tick,304,319,-15,15,147300,147300,5393,-17093,-17093,OK
55.485,TraderOne,Tick,304,319,-15,15,147300,146900,5393,-17093,-20093,OK
55.813,TraderOne,Tick,304,329,-25,25,147100,146900,5688,-15388,-20388,OK
56.0,TraderOne,Tick,304,329,-25,25,147100,147100,5688,-15388,-15388,OK
56.25,TraderOne,Tick,304,329,-25,25,147100,147100,5688,-15388,-15388,OK
56.5,TraderOne,Tick,304,329,-25,25,147100,147100,5688,-15388,-15388,OK
56.719,TraderOne,Tick,304,329,-25,25,147100,147100,5688,-15388,-15388,OK
56.985,TraderOne,Tick,304,329,-25,25,147100,147100,5688,-15388,-15388,OK
57.203,TraderOne,Tick,304,329,-25,25,147100,147100,5688,-15388,-15388,OK
57.453,TraderOne,Tick,304,329,-25,25,147100,146800,5688,-15388,-20388,OK
57.703,TraderOne,Tick,304,339,-35,35,147000,146700,5982,-11982,-18982,OK
58.0,TraderOne,Tick,304,339,-35,35,147000,146600,5982,-11982,-18982,OK
58.219,TraderOne,Tick,304,339,-35,35,147000,146600,5982,-11982,-18982,OK
58.453,TraderOne,Tick,304,339,-35,35,147000,146700,5982,-11982,-18982,OK
58.813,TraderOne,Tick,304,339,-35,35,147000,146700,5982,-11982,-18982,OK
58.953,TraderOne,Tick,304,339,-35,35,147000,146700,5982,-11982,-18982,OK
59.219,TraderOne,Tick,304,339,-35,35,147000,146700,5982,-11982,-18982,OK
59.547,TraderOne,Tick,304,349,-45,45,147000,146500,6276,-8276,-17276,OK
59.75,TraderOne,Tick,304,349,-45,45,147000,146500,6276,-8276,-17276,OK
60.047,TraderOne,Tick,304,349,-45,45,147000,146500,6276,-8276,-17276,OK
60.25,TraderOne,Tick,304,349,-45,45,147000,146700,6276,-8276,-17276,OK
60.469,TraderOne,Tick,304,349,-45,45,147000,146700,6276,-8276,-17276,OK
60.782,TraderOne,Tick,304,349,-45,45,147000,146600,6276,-8276,-17276,OK
61.047,TraderOne,Tick,304,349,-45,45,147000,146500,6276,-8276,-17276,OK
61.219,TraderOne,Tick,304,349,-45,45,147000,146500,6276,-8276,-17276,OK
61.532,TraderOne,Tick,304,349,-45,45,147000,146500,6276,-8276,-17276,OK
61.735,TraderOne,Tick,304,349,-45,45,147000,146500,6276,-8276,-17276,OK
61.953,TraderOne,Tick,304,349,-45,45,147000,146500,6276,-8276,-17276,OK
62.25,TraderOne,Tick,304,349,-45,45,147000,146300,6276,-8276,-17276,OK
62.547,TraderOne,Tick,304,359,-55,55,146700,146300,6570,-2570,-13570,OK
62.719,TraderOne,Tick,314,359,-45,45,146800,146300,6864,-8864,-17864,OK
62.985,TraderOne,Tick,314,359,-45,45,146800,146300,6864,-8864,-17864,OK
63.297,TraderOne,Tick,314,359,-45,45,146800,146300,6864,-8864,-17864,OK
63.5,TraderOne,Tick,314,359,-45,45,146800,146300,6864,-8864,-17864,OK
63.813,TraderOne,Tick,314,359,-45,45,146800,146300,6864,-8864,-17864,OK
63.953,TraderOne,Tick,314,359,-45,45,146800,146300,6864,-8864,-17864,OK
64.235,TraderOne,Tick,324,359,-35,35,146700,146300,7158,-12158,-19158,OK
64.453,TraderOne,Tick,324,359,-35,35,146700,146300,7158,-12158,-19158,OK
64.797,TraderOne,Tick,324,359,-35,35,146700,146300,7158,-12158,-19158,OK
65.0,TraderOne,Tick,324,359,-35,35,146700,146300,7158,-12158,-19158,OK
65.313,TraderOne,Tick,324,359,-35,35,146700,146900,7158,-12158,-5158,OK
65.485,TraderOne,Tick,324,359,-35,35,146700,146900,7158,-12158,-5158,OK
65.797,TraderOne,Tick,324,359,-35,35,146700,146900,7158,-12158,-5158,OK
66.047,TraderOne,Tick,334,359,-25,25,146600,146900,7011,-16011,-11011,OK
66.235,TraderOne,Tick,334,359,-25,25,146600,146900,7011,-16011,-11011,OK
66.469,TraderOne,Tick,334,369,-35,25,147300,146900,6864,1456136,-19864,OK
66.75,TraderOne,Tick,334,369,-35,35,147300,146900,6864,-11864,-18864,OK
67.016,TraderOne,Tick,344,369,-25,25,146500,146900,6717,-14717,-9717,OK
67.266,TraderOne,Tick,344,369,-25,25,146500,146900,6717,-14717,-9717,OK
67.532,TraderOne,Tick,354,369,-15,15,146900,146900,6570,-16570,-16570,OK
67.766,TraderOne,Tick,364,369,-5,5,146900,146900,6864,-18864,-18864,OK
68.0,TraderOne,Tick,364,369,-5,5,146900,146900,6864,-18864,-18864,OK
68.203,TraderOne,Tick,364,369,-5,5,146900,146900,6864,-18864,-18864,OK
68.453,TraderOne,Tick,374,379,-5,5,146500,146900,6570,-19570,-18570,OK
68.75,TraderOne,Tick,374,379,-5,5,146500,147200,6570,-19570,-18570,OK
69.016,TraderOne,Tick,374,379,-5,5,146500,147200,6570,-19570,-18570,OK
69.235,TraderOne,Tick,374,389,-15,15,147500,147200,6423,-18423,-21423,OK
69.547,TraderOne,Tick,374,389,-15,15,147500,147200,6423,-18423,-21423,OK
69.75,TraderOne,Tick,374,389,-15,15,147500,147300,6423,-18423,-21423,OK
69.985,TraderOne,Tick,374,389,-15,15,147500,147300,6423,-18423,-21423,OK
70.203,TraderOne,Tick,374,389,-15,15,147500,147300,6423,-18423,-21423,OK
70.469,TraderOne,Tick,374,389,-15,15,147500,147300,6423,-18423,-21423,OK
70.75,TraderOne,Tick,384,389,-5,5,146500,147300,6276,-20276,-19276,OK
71.016,TraderOne,Tick,384,389,-5,5,146500,147300,6276,-20276,-19276,OK
71.203,TraderOne,Tick,384,389,-5,5,146500,147300,6276,-20276,-19276,OK
71.485,TraderOne,Tick,384,389,-5,5,146500,147300,6276,-20276,-19276,OK
71.797,TraderOne,Tick,384,389,-5,5,146500,147300,6276,-20276,-19276,OK
72.0,TraderOne,Tick,384,389,-5,5,146500,147300,6276,-20276,-19276,OK
72.282,TraderOne,Tick,384,389,-5,5,146500,147300,6276,-20276,-19276,OK
72.485,TraderOne,Tick,384,399,-15,15,147500,147300,6128,-19128,-22128,OK
72.703,TraderOne,Tick,384,399,-15,15,147500,147300,6128,-19128,-22128,OK
73.0,TraderOne,Tick,384,399,-15,15,147600,147300,6128,-19128,-22128,OK
73.203,TraderOne,Tick,384,399,-15,15,147600,147300,6128,-19128,-22128,OK
73.5,TraderOne,Tick,384,399,-15,15,147600,147200,6128,-19128,-22128,OK
73.766,TraderOne,Tick,384,399,-15,15,147600,147200,6128,-19128,-22128,OK
74.032,TraderOne,Tick,394,399,-5,5,147600,147200,6423,-21423,-22423,OK
74.266,TraderOne,Tick,394,399,-5,5,147600,147200,6423,-21423,-22423,OK
74.547,TraderOne,Tick,394,409,-15,15,147500,147200,6718,-20718,-23718,OK
74.703,TraderOne,Tick,394,409,-15,15,147500,147200,6718,-20718,-23718,OK
74.985,TraderOne,Tick,394,409,-15,15,147500,147200,6718,-20718,-23718,OK
75.25,TraderOne,Tick,394,409,-15,15,147500,147400,6718,-20718,-22218,OK
75.532,TraderOne,Tick,394,409,-15,15,147500,147400,6718,-20718,-22218,OK
75.797,TraderOne,Tick,394,409,-15,15,147500,147400,6718,-20718,-22218,OK
75.985,TraderOne,Tick,394,409,-15,15,147500,147400,6718,-20718,-22218,OK
76.235,TraderOne,Tick,394,409,-15,15,147500,147400,6718,-20718,-22218,OK
76.453,TraderOne,Tick,394,409,-15,15,147500,147500,6718,-20718,-20718,OK
76.75,TraderOne,Tick,404,409,-5,5,147600,147600,7013,-22013,-22013,OK
77.0,TraderOne,Tick,404,409,-5,5,147600,147600,7013,-22013,-22013,OK
77.235,TraderOne,Tick,404,419,-15,15,147500,147600,7308,-21308,-19808,OK
77.453,TraderOne,Tick,404,419,-15,15,147500,147600,7308,-21308,-19808,OK
77.766,TraderOne,Tick,414,419,-5,5,147400,147600,7161,-23161,-22161,OK
78.032,TraderOne,Tick,414,419,-5,5,147400,147600,7161,-23161,-22161,OK
78.266,TraderOne,Tick,414,419,-5,5,147400,147600,7161,-23161,-22161,OK
78.485,TraderOne,Tick,414,419,-5,5,147400,147600,7161,-23161,-22161,OK
78.719,TraderOne,Tick,424,419,5,-5,147400,147600,7456,-25456,-26456,OK
79.032,TraderOne,Tick,424,419,5,-5,147400,147600,7456,-25456,-26456,OK
79.203,TraderOne,Tick,434,419,15,-15,147400,147600,7751,-23751,-26751,OK
79.453,TraderOne,Tick,436,419,17,-17,147400,147600,7810,-23610,-27010,OK
79.782,TraderOne,Tick,446,419,27,-27,147600,148500,8105,-21905,-27305,OK
80.032,TraderOne,Tick,456,419,37,-37,147800,148400,8401,-15201,-22601,OK
80.297,TraderOne,Tick,466,419,47,-47,147900,148400,8696,-12096,-21496,OK
80.5,TraderOne,Tick,476,419,57,-57,147900,148400,8992,-8392,-19792,OK
80.766,TraderOne,Tick,476,419,57,-57,147900,148400,8992,-8392,-19792,OK
80.953,TraderOne,Tick,476,419,57,-57,147900,148400,8992,-8392,-19792,OK
81.235,TraderOne,Tick,476,419,57,-57,147900,148300,8992,-8392,-19792,OK
